Results of DICE2016-R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
"Gross output, tril.2010$",YGROSS,105.177422,125.4303057,147.9066674,172.7054964,199.8865127,229.507261,261.623756,296.2909121,333.5627918,373.4927031,416.1331668,461.5357605,509.7508196,560.8269273,614.8100382,671.7419058,731.6571513,794.5776555,860.5016661,929.4015536,1001.16954,1075.802728,1153.917905,1235.435513,1320.307383,1408.513014,1500.065776,1595.033385,1693.582294,1796.064466,1899.342954,2005.943737,2115.754129,2228.669671,2344.59076,2463.420273,2585.061881,2709.418869,2836.393337,2965.885679,3097.794291,3232.015435,3368.443237,3506.96977,3647.485219,3789.878083,3934.035424,4079.84313,4227.186198,4375.949023,4526.015685,4677.270237,4829.596987,4982.880764,5137.007189,5291.862914,5447.335862,5603.315451,5759.692797,5916.360909,6073.21487,6230.151988,6387.071943,6543.87699,6700.471922,6856.764332,7012.664624,7168.086108,7322.945061,7477.160778,7630.655603,7783.354947,7935.187294,8086.084135,8235.979925,8384.81191,8532.519859,8679.04556,8824.332026,8968.321968,9110.955289,9252.164471,9391.866679,9529.949817,9666.247889,9800.497746,9932.262607,10060.79699,10184.8053,10302.00831,10408.34797,10589.06802,10752.69232,10903.64841,11045.06982,11179.18235,11307.57109,11431.36705,11551.37857,11668.18431
"Damage costs, tril. 2010$",DAMAGES,0.17249886,0.29410864,0.471033646,0.718764633,1.054671371,1.49780577,2.068534133,2.788066534,3.677895932,4.759161807,6.051953598,7.574568243,9.342733877,11.36880803,13.66095299,16.22228182,19.04995254,22.13415877,25.41523879,28.85834591,32.41723426,36.05198047,39.78737409,43.62495352,47.56603921,51.61198882,55.76474042,60.02784348,64.4083804,68.92053297,73.12350588,77.14016096,80.98642753,84.6734761,88.20889958,91.5976929,94.84303142,97.94687204,100.9104076,103.7344042,106.4194482,108.9661223,111.3751307,113.6473824,115.7840464,117.7865834,119.656762,121.3966618,123.0086674,124.4954561,125.8599802,127.1054462,128.2352909,129.253157,130.1628662,130.9683936,131.6738406,132.2834093,132.801377,133.2320716,133.5798488,133.8490693,134.0440786,134.1691886,134.2286576,134.2266766,134.1673539,134.0547021,133.8926269,133.6849171,133.4352365,133.1471164,132.8239502,132.4689879,132.0853322,131.6759348,131.2435916,130.7909366,130.3204326,129.8343545,129.3347602,128.8234379,128.3018152,127.7707988,127.2304927,126.6797084,126.115108,125.5297107,124.9102528,124.2325085,123.452794,123.5724922,123.4976901,123.287819,122.9846736,122.6177824,122.2080842,121.7704712,121.3155627,120.8509484
"Damage costs, fraction of gross output",DAMFRAC,0.001640075,0.002344797,0.003184668,0.004161794,0.005276351,0.00652618,0.007906523,0.009409896,0.011026098,0.012742315,0.01454331,0.016411661,0.018328041,0.020271509,0.022219795,0.024149575,0.02603672,0.027856508,0.029535374,0.03105046,0.032379365,0.033511702,0.034480247,0.035311397,0.036026489,0.036642891,0.037174864,0.037634224,0.038030854,0.038373084,0.038499369,0.038455795,0.038277807,0.037992834,0.037622301,0.037183137,0.036688882,0.036150509,0.035577015,0.034975861,0.034353297,0.033714605,0.033064274,0.032406148,0.031743527,0.031079254,0.030415782,0.029755228,0.02909942,0.028449933,0.027808118,0.027175134,0.026551965,0.025939444,0.025338268,0.024749015,0.024172154,0.02360806,0.023057024,0.02251926,0.021994916,0.021484078,0.020986781,0.020503012,0.020032717,0.019575804,0.01913215,0.018701603,0.018283986,0.017879102,0.017486733,0.017106648,0.016738603,0.016382341,0.016037598,0.015704101,0.015381575,0.015069737,0.014768306,0.014476995,0.014195521,0.0139236,0.013660949,0.01340729,0.013162345,0.012925844,0.012697521,0.012477114,0.012264373,0.012059057,0.01186094,0.011669818,0.011485281,0.011307024,0.011134803,0.010968404,0.010807634,0.010652311,0.010502258,0.010357305
"Abatement costs, tril. 2010$",ABATECOST,0.000855642,0.100965809,0.147865986,0.211628777,0.296606411,0.407840352,0.551094688,0.732881525,0.960477144,1.241927687,1.586043249,2.002379502,2.50120651,3.093465514,3.790716659,4.605085059,5.549221365,6.636310265,7.880521324,9.296592759,10.48824151,10.25813462,10.01844661,9.769752407,9.513143905,9.250010341,8.981938264,8.710704665,8.438362536,13.12070867,12.66759569,12.21820603,11.77317328,11.33325673,10.8992621,10.47199005,10.05220315,9.640605602,9.237831407,8.844438469,8.460906667,8.0876386,7.724962101,7.3731339,7.032343966,6.702720251,6.384333613,6.07720276,5.781299131,5.496551629,5.222851173,4.960055025,4.707990885,4.466460737,4.235244434,4.014103047,3.802781946,3.601013648,3.408520427,3.225016691,3.050211148,2.883808758,2.725512488,2.575024919,2.432049574,2.296292227,2.167461953,2.04527208,1.929441003,1.819692883,1.715758227,1.617374376,1.524285901,1.436244899,1.353011237,1.274352704,1.200045099,1.129872257,1.063626003,1.001106027,0.942119667,0.886481555,0.834013084,0.784541596,0.737899111,0.693920355,0.652439606,0.613285636,0.576273354,0.541189906,0.507770691,0.479851792,0.452725704,0.426641203,0.40173197,0.378057947,0.355632119,0.33443794,0.314440731,0
Consumption Per Capita,CPC,10.48667789,11.82577907,13.2849141,14.86878193,16.58196687,18.42886369,20.41363044,22.54016331,24.81208956,27.23277648,29.80535515,32.53275982,35.41778615,38.46317692,41.67175306,45.04662723,48.59157359,52.31170035,56.21570419,60.31653377,64.63561049,69.19412396,73.9808768,78.9876766,84.20758964,89.63331082,95.25514922,101.057903,107.0154141,113.2079076,119.6445496,126.3147045,133.2091954,140.3198349,147.6390884,155.1598294,162.875162,170.7782931,178.8624419,187.1207786,195.5463835,204.1322242,212.8711435,221.7558581,230.7789633,239.9329429,249.2101829,258.6029876,268.1035973,277.7042072,287.3969863,297.1740967,307.0277131,316.9500411,326.9333355,336.9699174,347.0521908,357.1726584,367.3239361,377.4987656,387.6900303,397.8907637,408.0941503,418.2935716,428.4825607,438.6548521,448.8043707,458.9252408,469.0117908,479.0585578,489.0602914,499.011955,508.9087384,518.7460507,528.5195408,538.2251088,547.8589377,557.4175336,566.8978313,576.2973337,585.6144225,594.8488349,604.0025573,613.0814049,622.0977661,631.0755023,640.0585241,649.1262257,658.4207608,668.1967145,663.3185128,674.9685115,685.5283787,695.2798296,704.4222654,713.0973346,721.4059197,729.4200085,737.1910535,744.7749539
Real interest Rate,,0.050997478,0.049831136,0.04870145,0.047612402,0.046564915,0.045558489,0.044592052,0.043664386,0.042774328,0.041920858,0.041103144,0.040320577,0.039572846,0.038860088,0.038183183,0.037544328,0.036948113,0.036408819,0.035938256,0.035562538,0.035259625,0.034881486,0.034459764,0.03401227,0.033547215,0.033064788,0.03255637,0.032000952,0.031693908,0.03140855,0.031095116,0.030764203,0.030423255,0.030077513,0.029730661,0.029385287,0.029043199,0.028705646,0.028373488,0.028047299,0.027727454,0.027414185,0.027107621,0.026807817,0.026514774,0.026228459,0.025948807,0.025675737,0.025409153,0.025148947,0.024895007,0.024647215,0.02440545,0.024169589,0.023939509,0.023715086,0.023496196,0.023282717,0.023074526,0.022871505,0.022673535,0.022480492,0.022292278,0.022108761,0.02192984,0.021755403,0.021585344,0.021419557,0.021257941,0.021100395,0.020946821,0.020797129,0.020651227,0.020509034,0.020370478,0.020235505,0.020104083,0.019976232,0.019852039,0.019731739,0.019615782,0.019505022,0.019401008,0.019306484,0.019226295,0.019168912,0.019149248,0.01919341,0.019347542,0.012845491,0.020137815,0.019579748,0.019166073,0.01885256,0.018609228,0.018415499,0.018257116,0.018124137,0.01801715,0
"Capital, tril. 2010$",K,223,268.5352253,319.3989344,376.0469106,438.6722815,507.4629231,582.6026924,664.2725223,752.6514269,847.9174236,950.2483107,1059.822142,1176.817051,1301.409718,1433.771099,1574.056638,1722.38553,1878.798243,2043.171067,2215.197433,2393.954697,2579.377451,2776.399658,2984.449736,3203.23668,3432.723606,3673.183479,3925.37447,4190.919024,4473.051412,4746.008832,5031.007804,5327.487125,5634.979188,5953.080922,6281.433037,6619.70492,6967.583563,7324.765454,7690.950692,8065.838814,8449.125908,8840.502741,9239.653643,9646.255957,10059.97995,10480.48905,10907.44029,11340.48496,11779.26935,12223.43564,12672.62273,13126.4672,13584.60421,14046.66844,14512.29499,14981.12022,15452.78265,15926.92374,16403.18863,16881.22695,17360.69333,17841.24811,18322.55847,18804.29758,19286.14655,19767.79411,20248.93716,20729.28107,21208.54001,21686.43706,22162.70433,22637.08301,23109.32277,23579.18146,24046.42356,24510.81779,24972.13251,25430.12819,25884.543,26335.06874,26781.3063,27222.68921,27658.34806,28086.87074,28505.88117,28911.29514,29296.00956,29647.57295,29944.04837,30146.56959,31082.41043,31868.27676,32543.7575,33137.87012,33671.74163,34160.68347,34615.7568,35044.9345,35453.95471
"Savings rate, S",S,0.260667912,0.257258003,0.25452899,0.252213898,0.250264219,0.248636998,0.247294483,0.246203634,0.24533556,0.244664931,0.244169358,0.243828711,0.243624277,0.243537597,0.243548657,0.243632852,0.243755629,0.243862818,0.243887367,0.24368177,0.243308955,0.243479759,0.243637131,0.243806973,0.244016779,0.244305759,0.244739495,0.245434186,0.246598606,0.245587886,0.245764911,0.245929805,0.246085818,0.246235072,0.246378955,0.246518373,0.24665391,0.246785941,0.246914699,0.247040332,0.24716293,0.247282554,0.247399244,0.247513035,0.247623961,0.247732056,0.24783736,0.247939917,0.248039775,0.248136986,0.248231607,0.248323696,0.248413316,0.248500527,0.248585394,0.248667979,0.248748345,0.248826554,0.248902666,0.248976741,0.249048834,0.249118998,0.249187301,0.249253771,0.249318471,0.249381443,0.24944273,0.249502374,0.249560411,0.249616873,0.249671786,0.249725169,0.249777019,0.249827313,0.249875983,0.249922881,0.249967725,0.250010009,0.250048813,0.250082531,0.250108311,0.250121184,0.250112467,0.250067005,0.249958389,0.249740566,0.249333229,0.24859592,0.247282213,0.244956689,0.258278146,0.258278146,0.258278146,0.258278146,0.258278146,0.258278146,0.258278146,0.258278146,0.258278146,0.258278146
"Investment, tril 2010$ per year",I,27.37119107,32.16631385,37.48900677,43.32406825,49.68626552,56.59018219,64.05029168,72.08102906,80.6968565,89.91231025,99.74200347,110.2005348,121.3022036,133.0603348,145.4858284,158.5841652,172.3493623,186.7518985,201.74507,217.1805529,233.1542285,250.6606133,269.0027004,288.189791,308.2488759,329.2389034,351.2792715,374.6049306,399.6711276,420.9433408,445.7074096,471.3454653,497.8302631,525.1364123,553.2396566,582.1163052,611.7428011,642.0954071,673.1499879,704.8818678,737.2657494,770.2756768,803.8850357,838.0665755,872.7924549,908.0342983,943.7632621,979.9501076,1016.565278,1053.578976,1090.961244,1128.68204,1166.711319,1205.019101,1243.575548,1282.351031,1321.316195,1360.442023,1399.699887,1439.061619,1478.499526,1517.98646,1557.495975,1597.002006,1636.479375,1675.903487,1715.250483,1754.497234,1793.621366,1832.601254,1871.416023,1910.045546,1948.470325,1986.671491,2024.63054,2062.32903,2099.747942,2136.866733,2173.661322,2210.100989,2246.142312,2281.71913,2316.724463,2350.978558,2384.172973,2415.771475,2444.835778,2469.714452,2487.490605,2492.981693,2656.23251,2702.884844,2745.171751,2784.221351,2820.83214,2855.57135,2888.842963,2920.935255,2952.054266,2982.423847
"Radiative forcing, Wm-2",FORC,2.463395501,2.73873109,2.966692533,3.193433435,3.417138201,3.636022363,3.848408215,4.05276305,4.24771184,4.432033236,4.60464525,4.764585078,4.910985927,5.043052624,5.16003687,5.261212401,5.345849717,5.413189517,5.433001512,5.433778712,5.414471856,5.38048699,5.354979981,5.335277641,5.319540143,5.30650637,5.295314394,5.285376398,5.276292186,5.267789705,5.170044102,5.082699944,5.002651269,4.92774794,4.856513497,4.787942208,4.721355192,4.656299405,4.59247719,4.529697354,4.467841303,4.40683965,4.346656075,4.287276211,4.228699986,4.170936373,4.113999768,4.057907526,4.002678266,3.948330731,3.894883012,3.84235204,3.79075325,3.74010038,3.69040535,3.641678204,3.593927094,3.547158301,3.501376271,3.456583664,3.412781425,3.369968851,3.32814367,3.287302124,3.247439049,3.208547959,3.170621136,3.133649711,3.09762375,3.062532333,3.028363643,2.995105038,2.962743134,2.931263878,2.900652619,2.870894183,2.841972937,2.81387286,2.7865776,2.760070544,2.73433488,2.709353666,2.685109905,2.66158664,2.638767073,2.616634741,2.595173771,2.574369301,2.554208143,2.534679902,2.515778867,2.497507269,2.479650567,2.462261507,2.445365232,2.428970072,2.413074269,2.397670142,2.382746652,2.368290969
